job,marital,education,housing,loan,month,day_of_week,campaign,previous,cons.price.idx,cons.conf.idx,y,was_contacted_before,economic_index,is_risk,poutcome_success,is_cellular,age_group
housemaid,married,basic.4y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
services,married,high.school,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
services,married,high.school,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,basic.6y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
services,married,high.school,no,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
services,married,basic.9y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
admin.,married,professional.course,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,basic.9y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
technician,single,professional.course,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,Students/early career
services,single,high.school,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,Students/early career
blue-collar,married,basic.9y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
services,single,high.school,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,Students/early career
blue-collar,single,high.school,no,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
housemaid,divorced,basic.4y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,basic.6y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
retired,married,basic.9y,yes,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,basic.6y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
